class,race_id,win_order,name,ts,stamina,sprinting,jockey,run_speed,intel,cooperation,acceleration,course_length
c,37,4,SAMMY,83,547,0,3,1715,100,100,50,0
c,37,0,GRAHAM,84,560,0,1,1889,50,100,50,0
c,37,5,HARVEY,82,525,0,2,1785,50,100,50,0
c,38,0,LIA,77,547,0,1,1788,100,100,50,0
c,38,2,PAU,81,545,1,0,1805,100,100,50,0
c,38,3,NANCY,86,505,0,2,1817,100,100,50,0
c,38,4,MARIE,76,522,0,2,1816,50,100,50,0
c,38,5,AIMEE,85,546,0,2,1700,100,100,50,0
c,38,1,DAN,78,536,0,0,1734,100,100,50,0
c,39,5,PETER,83,536,0,2,1865,50,100,50,0
c,39,1,JENNY,86,545,0,0,1765,100,100,50,0
c,39,0,TOM,87,511,0,1,1795,100,100,50,0
c,39,2,GARY,75,527,0,1,1893,100,100,50,0
c,39,4,ANDY,86,517,0,0,1784,50,100,50,0
c,39,3,PAU,80,507,0,3,1870,50,100,50,0
c,40,5,EDWARD,85,513,1,2,1862,100,100,50,0
c,40,3,LE,77,508,0,3,1877,100,100,50,0
c,40,2,LY,86,537,0,0,1830,100,100,50,0
c,40,0,TIM,88,542,0,0,1846,50,100,50,0
c,40,1,FOX,85,506,0,0,1835,100,100,50,0
c,40,4,BLUES,75,533,0,2,1886,100,100,50,0
c,41,0,SANDY,85,505,0,0,1826,50,100,50,0
c,41,5,GREY,79,554,0,2,1891,50,100,50,0
c,41,4,JOHN,77,517,0,2,1826,100,100,50,0
c,41,3,YOUNG,75,513,0,2,1836,100,100,50,0
c,41,2,BLUES,74,550,0,2,1758,50,100,50,0
c,41,1,KNIGHT,81,554,0,2,1883,100,100,50,0
c,42,1,JAMES,78,555,0,3,1770,50,100,50,0
c,42,5,YOUNG,78,507,0,2,1826,50,100,50,0
c,42,4,ARL,82,524,0,1,1749,100,100,50,0
c,42,3,GEORGE,80,540,0,0,1887,50,100,50,0
c,42,2,KNIGHT,82,500,0,3,1764,50,100,50,0
c,42,0,JENNY,81,514,0,1,1826,50,100,50,0
c,43,1,SAMMY,74,523,0,1,1768,50,100,50,0
c,43,5,MIKE,78,528,0,2,1806,50,100,50,0
c,43,2,PAULA,82,539,1,2,1868,100,100,50,0
c,43,4,ARL,84,517,0,2,1872,50,100,50,0
c,43,3,NANCY,75,524,0,2,1899,100,100,50,0
c,43,0,ROBER,77,549,0,3,1856,50,100,50,0
c,44,0,PAU,79,505,0,1,1869,50,100,50,0
c,44,4,ROBER,78,535,1,2,1748,100,100,50,0
c,44,1,TERRY,82,556,0,3,1824,100,100,50,0
c,44,3,SANDY,79,505,0,2,1811,100,100,50,0
c,44,2,DARIO,84,517,0,1,1708,100,100,50,0
c,44,5,EDWARD,78,501,0,2,1780,50,100,50,0
c,45,1,JU,86,504,1,1,1771,50,100,50,0
c,45,4,JOEL,79,553,0,2,1735,100,100,50,0
c,45,2,NANCY,82,541,0,3,1728,50,100,50,0
